Branche,Company_Name,Adresse,PLZ,Ort,Land,Telefon,Email,Website,Anrede,Vorname,Name,Title,Mitglied,Facebook,Twitter,Youtube,Linkedin,Instagram,Company Description
Kommunikation,Wunderman Thompson Switzerland AG,Hardturmstrasse 133,8005,Zürich,Schweiz,044 448 38 38,info.ch@wundermanthompson.com,https://wundermanthompson.ch/,Mr.,Swen,Morath,,leadingswissagencies.ch,https://www.facebook.com/WunThompsonCH,https://twitter.com/WunThompsonCH,https://www.youtube.com/WundermanThompsonSwitzerland,https://www.linkedin.com/company/wunderman-thompson-switzerland,https://www.instagram.com/wunthompsonch,"Da wir jederzeit auf die ganze Kompetenz unserer Spezialisten zugreifen können, bringen wir jede Idee auf dem direktesten Weg ins Ziel.",https://www.persoenlich.com/marktplatz/wunderman-thompson-switzerland-ag-zurich
Werbeagenturen,Yellow Werbeagentur AG,Horburgstrasse 105,4057,Basel,Schweiz,+41 61 226 96 96,reto@yellow.agency,https://yellow.agency/,Mr.,Reto,Meyer,CEO,leadingswissagencies.ch,https://www.facebook.com/yellow.agency.ch/,,,https://www.linkedin.com/company/yellow-agency-ch,https://www.instagram.com/yellow.agency.ch/,Im Erfolg ihrer Kunden sieht Yellow ihren Zweck. Als strategische Kreativagentur entwickeln wir Marken und Lösungen im B2B und B2C: Entlang der ganzen Customer Journey und unabhängig von Kanälen.,https://www.persoenlich.com/marktplatz/yellow-werbeagentur-ag-basel
Online Medien,50PLUS-Medien GmbH,Max Daetwylerstrasse 20,8126,Zumikon,Schweiz,,info@50plus-medien.ch,https://www.50plus.ch,Mr.,Peter,Röthlisberger,,,https://www.facebook.com/50plus.ch/,,,,,"50PLUS.ch ist das grösste Online-Portal der Schweiz für die Generation 50plus. 50PLUS bietet mehr vom Leben: Informationen, Service, Nutzwert und Unterhaltung für die entsprechende Zielgruppe.",https://www.persoenlich.com/marktplatz/50plus-medien-gmbh-zumikon
Digitalagenturen,ads&figures AG,Nordring 4A,3013,Bern,Schweiz,+41 31 533 90 00,marketing@adsandfigures.com,,Mr.,Fabian,Wydler,CEO,,,,,,,"Egal ob Social Media, SEA, SEO oder andere digitale Kanäle: Wir unterstützen dich von der Beratung bis zur Umsetzung.",https://www.persoenlich.com/marktplatz/ads-figures-ag-bern
Unternehmensberatung,Compresso AG,Seestrasse 49,8702,Zollikon,Schweiz,+41 43 488 86 00,info@compresso.ch,https:compresso.ch,Mr.,Fridolin,Stauffacher,Geschäftsführer,,,,,,,Compresso ist eine Schweizer Kommunikationsagentur mit sechs eigenständigen Bereichen.,https://www.persoenlich.com/marktplatz/compresso-ag-zollikon
Kommunikation,Feinheit AG,Fabrikstrasse 54,8005,Zürich,Schweiz,078 664 10 94,beratung@feinheit.ch,www.feinheit.ch,Mr.,Moritz,Friess,Partner | Strategie & Beratung,,,https://twitter.com/feinheit/,,https://www.linkedin.com/company/feinheit/mycompany/,https://www.instagram.com/feinheit_ch/,"Sichtbarkeit und Wirkung für nachhaltige, ehrliche und transparente Projekte.",https://www.persoenlich.com/marktplatz/feinheit-ag-zurich
Aussenwerbung,Format12,Sägeweg 28,3283,Kallnach,Schweiz,+41 32 332 97 00,info@format12.ch,www.format12.ch,Mr.,Hermann,Bühlmann,Geschäftsführer & Inhaber,,https://www.facebook.com/pg/Format12AG/about/?ref=page_internal,,,https://www.linkedin.com/company/11388453/,,"Das neue Strassen-FORMAT - Format12
12m2 grosse Werbflächen an der Strasse


Wir bieten Ihnen die auf Ihre Bedürfnisse und Ihre Möglichkeiten abgestimmte, werbeeffizenteste Outdoor-Werbung.",https://www.persoenlich.com/marktplatz/format12-kallnach
Werbeagenturen,Foundry Group AG,Schiffbau 10,8005,Zürich,Schweiz,+41 44 543 65 10,welcome@foundry.ch,www.foundry.ch,Mr.,Sacha,Moser,Gründer / CEO,,https://www.facebook.com/foundryinc/,,,https://www.linkedin.com/company/foundry-berlin-zurich-nyc,https://www.instagram.com/foundry.berlin/,"Wir sind Macher mit Hands-on-Mentalität und lieben es, Marken aufzubauen, die langfristig Bestand haben.",https://www.persoenlich.com/marktplatz/foundry-group-ag-zurich
Veranstalter,gfm,Postfach,8021,Zürich1,Schweiz,+41 44 202 34 25,info@gfm.ch,https://www.gfm.ch,Mr.,Jean-Marc,Grand,Geschäftsführer,,,,,,,Die gfm ist das führende C-Level Marketingnetzwerk in der Schweiz mit Fokus auf Wissenstransfer und Community Building.,https://www.persoenlich.com/marktplatz/gfm-zurich1
Werbeagenturen,GLA United,Schochenmühlestrasse 6,6340,Baar,Schweiz,+41 41 763 12 94,info@gla-united.com,www.gla-united.com,Mr.,Flavio,Niederhauser,CEO,,https://www.facebook.com/gla.united/,https://twitter.com/GLA_Utd?lang=de,https://www.youtube.com/channel/UC3S1gsgzlSXfogSvePjAGGA,https://www.linkedin.com/company/9489931/admin/,https://www.instagram.com/gla.united.agency/?hl=de,"Wir sind eine globale Beratungsagentur mit Sitz in Zug, London und Shenzhen. Unsere Kunden beraten wir in einem breiten Kompetenzfeld und setzen auf unser internationales Netzwerk",https://www.persoenlich.com/marktplatz/gla-united-baar
Marketing-Agenturen,jim & jim - NextGen Marketing,Bachstrasse 9,8038,Zürich,Schweiz,041 210 88 10,hello@jimjim.ch,http://www.jimjim.ch,Mr.,Managing,Fabio,,,,,,,,"Wir decken auf, wir forschen, wir hinterfragen. Die Welt verändert sich und sie tut es schnell. Um die Generation Y- und Z zu verstehen.",https://www.persoenlich.com/marktplatz/jim-jim-nextgen-marketing-zurich
Digitale Services,JLS DIGITAL AG,Libellenrain 17,6004,Luzern,Schweiz,+41 (41) 259 80 00,info@jls.ch,www.jls.ch,Mr.,Patrick,Minder,CEO,,,,,,,"Als Schweizer Digital Signage Markführer gestalten, realisieren und betreiben wir Digital Signage Netzwerke im stationären Vertrieb, Bewegtbildinhalte sowie Apps für Mobile, Web und Cloud.",https://www.persoenlich.com/marktplatz/jls-digital-ag-luzern
Werbeagenturen,Koch Kommunikation,Militärstrasse 4,8500,Frauenfeld,Schweiz,052 728 90 10,philipp.koch@koch-k.ch,www.koch-k.ch,Mr.,Philipp,Koch,,,,,,,,Inhabergeführte und unabhängige Schweizer Fullservice-Agentur für klassische und digitale Kommunikation.,https://www.persoenlich.com/marktplatz/koch-kommunikation-frauenfeld-1
Aus-/Weiterbildung,Modula AG / Ausbildung-Weiterbildung.ch,Aemetstrasse 6,8344,Bäretswil,Schweiz,+41 44 930 30 30,stefan.schmidlin@ausbildung-weiterbildung.ch,www.ausbildung-weiterbildung.ch,Mr.,Stefan,Schmidlin,,,,,,,,Das Schweizer Bildungsportal Ausbildung-Weiterbildung.ch bietet zahlreiche Informations- und Entscheidungshilfen für die Wahl der richtigen Weiterbildung und der passenden Schule.,https://www.persoenlich.com/marktplatz/modula-ag-ausbildung-weiterbildung-ch-baretswil
Werbeagenturen,OPENROOM.CH GmbH,Baslerstrasse 102,8048,Zürich,Schweiz,00412517878,eric@openroom.ch,,Mr.,Eric,Voser,Founder - Creative Director,,,,,,,"OPENROOM.CH ist eine Agentur für Branding, digitale Kommunikation und Omni Channel. Die Zweisprachigkeit all unserer Mitarbeiter ist unser Kapital, um die Projekte unserer Kunden in der ganzen Schweiz",https://www.persoenlich.com/marktplatz/openroom-ch-gmbh-zurich
Printmedien / Verlage,persönlich Verlags AG,Birmensdorferstrasse 198,8003,Zürich,Schweiz,+41 43 960 79 00,info@persoenlich.com,http://www.persoenlich.com,Mr.,Roman,Frank,Verlags- und Anzeigenleiter,,https://www.facebook.com/persoenlichcom/,https://twitter.com/persoenlichcom,https://www.youtube.com/channel/UCr-45r7pUkeP6t95ZExMegg,https://www.linkedin.com/company/pers-lich-verlags-ag,,gjhgjh,https://www.persoenlich.com/marktplatz/personlich-verlags-ag-zurich
CI Agenturen,Scholtysik,Hirschengraben 28a,8001,Zürich,Schweiz,+41 44 487 80 80,contact@scholtysik.ch,https://www.scholtysik.ch,Mr.,Fabian,Sander,Partner,,,https://twitter.com/scholtysik_ch?lang=de,,https://www.linkedin.com/company/scholtysik-&-partner-ag,https://www.instagram.com/scholtysik.ch,"Scholtysik ist eine unabhängige Schweizer Branding- und Designagentur. Wir helfen Unternehmen und Institutionen dabei, kraftvolle Marken aufzubauen und erfolgreich zu führen.",https://www.persoenlich.com/marktplatz/scholtysik-zurich
Werbeagenturen,SERGEANT AG,Lagerstrasse 121,8004,Zürich,Schweiz,+41 44 446 80 00,hello@sergeant.agency,www.sergeant.agency,Mr.,Michel,Müller,CEO / Creative Director,,https://www.facebook.com/sergeantagency/,https://twitter.com/sergeantagency,,,https://www.instagram.com/sergeantagency/,Wir sind eine Zürcher Full-Service-Agentur mit Digitalität im Blut und Marken im Herzen.,https://www.persoenlich.com/marktplatz/sergeant-ag-zurich
Videoproduktionsdienst,stories AG,Dufourstrasse 185a,8008,Zürich,Schweiz,+41 43 501 5500,yves@stories.ch,,Mr.,Yves,Bollag,Executive Producer,,,,,,,"We are cross-platform storytellers. The entire industry talks about storytelling; we do it! As a Switzerland-based full-service and in-house production company, we create, write and produce high-end v",https://www.persoenlich.com/marktplatz/stories-ag-zurich
Werbeagenturen,STUIQ AG,Dufourstrasse 97,8008,Zürich,Schweiz,+41 44 905 77 10,hello@stuiq.ch,www.stuiq.ch,Mr.,Sandro,Walder,"CEO, Partner",,https://www.facebook.com/stuiqagency,https://twitter.com/stuiqhello,https://www.youtube.com/user/walderwerber/,https://www.linkedin.com/company/stuiq-ag/,https://www.instagram.com/stuiq_agency/,WHY NORMAL?,https://www.persoenlich.com/marktplatz/stuiq-ag-zurich
Übersetzungen,Supertext AG  |  Text – Übersetzung – Lektorat,Hardturmstrasse 253,8005,Zürich,Schweiz,+41 43 500 33 80,info@supertext.ch,www.supertext.ch,,Fabian,Dieziger,,,https://www.facebook.com/Supertext/,https://twitter.com/Supertext,https://www.youtube.com/watch?v=tfcdIIW_N5E&t=7s,https://www.linkedin.com/company/supertext-ag/,,Sprachdienstleistungen online buchen. So einfach wie einen Flug.,https://www.persoenlich.com/marktplatz/supertext-ag-text-ubersetzung-lektorat-zurich
CI Agenturen,TATIN Design Enterprises,Kirschgartenstrasse 7,4051,Basel,Schweiz,+ 41 61 261 60 37,oliver.mayer@tatin.info,www.tde.tatin.info,Mr.,Oliver,Mayer,"Geschäftsführer, Firmengründer",,,,,,,"Tatin Design Enterprises bündelt ganzheitliche Kompetenz in der Entwicklung und Umsetzung von Design Strategies, Design Systems und Design Stories.",https://www.persoenlich.com/marktplatz/tatin-design-enterprises-basel
Mediaagenturen,The Cover Media AG,Güterstrasse 143,4053,Basel,Schweiz,+41 61 366 92 92,info@covermedia.ch,http://covermedia.ch,Mr.,Michel,Zürcher,"Inhaber, VR-P, Marketing, Beratung",,https://www.facebook.com/TheCoverMedia/,,https://www.youtube.com/user/TCMProductionsCH,https://www.linkedin.com/company/the-cover-media-ag,,"Ob Sie eine Analyse oder Planung für Ihre Radiokampagne, eine Vertonung oder einen Werbespot von der Konzeption bis zur Umsetzung brauchen – wir haben die passenden Spezialisten dafür.",https://www.persoenlich.com/marktplatz/the-cover-media-ag-basel
Vertragsunternehmen,CCT Autoaufbereitun,Bücklestr 72,78467,Konstanz,Deutschland,004915255693959,tayfun0034@yahoo.com,yahoo.com,Mr.,Tayfun,Yapcal,,,,,,,,Eine Auto Aufbereitung ist mehr als reine Fahrzeugpflege!,https://www.persoenlich.com/marktplatz/cct-autoaufbereitun-konstanz
Public Relations Agenturen,Contcept Communication GmbH,Hardturmstrasse 76,8005,Zürich,Schweiz,+41 43 501 33 00,contact@contcept.ch,contcept.ch,Mr.,Andreas,Messerli,Co-CEO,,,,,,,"Die Story sind Sie!
Wir bringen Sie, unsere Kund*innen, ins Gespräch – denn: Worüber man spricht, existiert.
Ihrer Story bieten wir eine hohe Reichweite dank Büros in Zürich, Lausanne und Berlin.",https://www.persoenlich.com/marktplatz/contcept-communication-gmbh-zurich-1
Werbeagenturen,Contexta AG,Wasserwerkgasse 19,3000,Bern,Schweiz,+41 31 310 88 88,contexta@contexta.ch,contexta.ch,Ms.,Nadine,Borter,,leadingswissagencies.ch,,,,,,"Mediaplanung, Onlineagentur, Interaktive Kommunikation, bsw, Crossmedia, Dialog, online, Contexta, Brand, Brands, Agentur, Social Media",https://www.persoenlich.com/marktplatz/contexta-ag-bern-1
Werbeagenturen,DACHCOM.CH AG,"Halle 181, Lagerpl. 21",8400,Winterthur,Schweiz,052 245 06 60,info@dachcom.ch,dachcom.ch,Ms.,Christin,Gmeiner,,leadingswissagencies.ch,,,,,,"Jeder Mensch hat Talente. Bei DACHCOM kommen sie zur Entfaltung. Auf die Frage, was uns auszeichnet, antworten wir: Jeder Einzelne. Wir alle. Unsere Charaktere und Fähigkeiten, ge",https://www.persoenlich.com/marktplatz/dachcom-ch-ag-winterthur
Werbeagenturen,DACHCOM.CH AG,Appenzellerstrasse 40,9424,Rheineck,Schweiz,+41 71 886 48 68,info@dachcom.ch,dachcom.ch,Mr.,Otto,Gmeiner,Leitung Beratung,leadingswissagencies.ch,,,,,,"DACHCOM ist der kreative Full-Service-Anbieter mit sechs Standorten in der Schweiz, Deutschland und Liechtenstein. www.dachcom.com",https://www.persoenlich.com/marktplatz/dachcom-ch-ag-rheineck
Werbeagenturen,dd com AG Communications Art,Seefeldstrasse 301,8008,Zürich,Schweiz,043 499 12 30,info@ddcom.ch,ddcom.ch,Mr.,Daniel,Müri,,leadingswissagencies.ch,,,,,,"Wir betreuen und begleiten renommierte Unternehmen aus den verschiedensten Bereichen, die grossen Wert auf stringente Konzepte, klare Botschaften sowie perfekte und effiziente Umse",https://www.persoenlich.com/marktplatz/dd-com-ag-communications-art-zurich
Werbeagenturen,Equipe AG,Limmatstrasse 214,8005,Zürich,Schweiz,+41 44 500 13 00,info@equipe.agency,equipe.agency,Mr.,Ramon,Schwarz,,leadingswissagencies.ch,,,,,,"Wir stehen für Markenführung im digitalen Zeitalter. Als Team von Spezialisten entwickeln wir kreative Kommunikationslösungen, die Buzz generieren, messbar und optimierbar sind.",https://www.persoenlich.com/marktplatz/equipe-ag-zurich-1
Werbeagenturen,fastr AG,Hardturmstrasse 132,8005,Zürich,Schweiz,+41 44 267 70 30,info@fastr.ch,fastr.ch,Mr.,Guido,Zehnder,,leadingswissagencies.ch,,,,,,"Konzeption, Gestaltung, Realisation und Orchestrierung von integrierten klassischen und digitalen Kommunikationslösungen.",https://www.persoenlich.com/marktplatz/fastr-ag-zurich
Werbeagenturen,FCB Zürich,Heinrichstrasse 267,8005,Zürich,Schweiz,+ 41 44 877 87 87,info.zuerich@fcb.com,fcb.com,Ms.,Cornelia,Harder,,leadingswissagencies.ch,,,,,,"FCB Zürich ist die Schweizer Dependance des internationalen Agenturnetzwerks Foote, Cone & Belding.",https://www.persoenlich.com/marktplatz/fcb-zurich-zurich
Werbeagenturen,Festland AG,Ottenweg 25,8008,Zürich,Schweiz,044 250 86 30,office@festland.ch,festland.ch,Mr.,Daniel,Peterer,,leadingswissagencies.ch,,,,,,"Auf der einen Seite steht eine gewaltige Flut an Medien und Inhalten. Auf der anderen stehen Ihre Marke und Botschaft. Festland sorgt dafür, dass diese nicht untergehen. Mit klare",https://www.persoenlich.com/marktplatz/festland-ag-zurich-1
Aus-/Weiterbildung,FH SCHWEIZ,Konradstrasse 6,8005,Zürich,Schweiz,+41 43 244 70 73,valentina.altorfer@fhschweiz.ch,fhschweiz.ch,Mr.,Adrian,Lüthi,Leiter Marketing und Verkauf,,,,,,,FH SCHWEIZ ist der Dachverband von Fachhochschulabsolventen. Gegenwärtig zählt FH SCHWEIZ über 48'000 Mitglieder. Kernaufgaben sind die Interessenvertretung und das Erbringen von Dienstleistungen.,https://www.persoenlich.com/marktplatz/fh-schweiz-zurich
Unternehmensberatung,Futureworks,Förrlibuckstrasse 10,8005,Zürich,Schweiz,044 277 57 11,,,,Walter,Stulzer,,leadingswissagencies.ch,,,,,,"We are idealists, creators, strategists, innovators, thinkers and makers who strongly believe in the power of design to solve any business challenge.",https://www.persoenlich.com/marktplatz/futureworks-zurich
Werbeagenturen,Gaultier Collette SA,7 CHEMIN DU CHAMP-PAGET,1258,Genève,Schweiz,+41 22 884 39 60,info@gaultiercollette.ch,gaultiercollette.ch,Ms.,Stéphanie,Girard,,leadingswissagencies.ch,,,,,,"Agence de communication à Genève, Gaultier Collette est une agence conseil en publicité et marketing.",https://www.persoenlich.com/marktplatz/gaultier-collette-sa-geneve
Mediaagenturen,Havas Media AG,Morgartenstrasse 6,8004,Zürich,Schweiz,044 244 12 00,info-zurich@havas.com,havas.com,Ms.,Nathalie,Diethelm,,leadingswissagencies.ch,,,,,,"Havas Media Switzerland und Arena Media bieten Mediastrategie, -Planung und -Einkauf von traditionellen und digitalen Medien an.",https://www.persoenlich.com/marktplatz/havas-media-ag-zurich
Medien,Havas SA,"42, rue du XXXI-Décembre",1211,Genève,Schweiz,,,,,,,,leadingswissagencies.ch,,,,,,,https://www.persoenlich.com/marktplatz/havas-sa-geneve
Marketing-Agenturen,Havas Schweiz,Gutstrasse 73,8055,Zürich,Schweiz,+41 44 466 67 77,info-zurich@havas.com,havas.com,Mr.,Frank,Bodin,,leadingswissagencies.ch,,,,,,"Wenn es um die Verbindung von strategischer Intelligenz mit Kreativität und digitalem Know-how geht, ist Havas die Schweizer Kreativagentur.",https://www.persoenlich.com/marktplatz/havas-schweiz-zurich
Werbeagenturen,Hofer AG Kommunikation,Ramuzstrasse 15,3027,Bern,Schweiz,+41 31 336 76 76,info@hoferkom.ch,hoferkom.ch,Mr.,Reto,Steiner,,leadingswissagencies.ch,,,,,,"Hoferkom, die erste Werbeagentur seit 1950 in Bern für erfolgreiche Werbung in allen Off- und Onlinemedien. Ausgeklügelte Werbestrategien.",https://www.persoenlich.com/marktplatz/hofer-ag-kommunikation-bern
Werbeagenturen,in flagranti ag,Busswilstrasse 12,3250,Lyss,Schweiz,+41 32 387 79 79,WELCOME@INFLAGRANTI.CH,INFLAGRANTI.CH,Mr.,Lorenz,Schmid,,leadingswissagencies.ch,,,,,,"in flagranti communication entwickelt für Kunden Lösungen in den Kompetenzgebieten Marketing, Branding, Kampagnen, Aktivierung und Dialog, Publishing und Dokumente und Digital.",https://www.persoenlich.com/marktplatz/in-flagranti-ag-lyss
Werbeagenturen,Inhalt und Form Werbeagentur LSA,Gasometerstrasse 9,8005,Zürich,Schweiz,044 448 40 80,dominik.stibal@iundf.ch,iundf.ch,Mr.,Dominik,Stibal,,leadingswissagencies.ch,,,,,,"Unsere Leidenschaft und Kreativität verfolgen nur ein Ziel: Qualität, die nachhaltig zum Erfolg führt. Von der Strategie über die Idee bis hin zur Umsetzung.",https://www.persoenlich.com/marktplatz/inhalt-und-form-werbeagentur-lsa-zurich
Werbeagenturen,JBW Media AG,Paradiesstrasse 2,8802,Kilchberg,Schweiz,044 743 77 44,mail@bwmedia.ch,bwmedia.ch,Mr.,Julien,Witt,,leadingswissagencies.ch,,,,,,"Jeder Kunde ist wertvoll und profitiert von einer persönlichen, individuellen Betreuung sowie einer unabhängigen, zeitgemässen Beratung. Oberstes Ziel ist es, jeden Werbe-Franke",https://www.persoenlich.com/marktplatz/jbw-media-ag-kilchberg-1
Werbeagenturen,Jung von Matt Limmat AG,Wolfbachstrasse 19,8032,Zürich,Schweiz,044 254 66 00,contact@jvm.ch,jvm.ch,Mr.,Dennis,Lück,,leadingswissagencies.ch,,,,,,"Wir stehen für Ideen, die erobern.",https://www.persoenlich.com/marktplatz/jung-von-matt-limmat-ag-zurich
Werbeagenturen,JWT Fabrikant Werbeagentur AG,Binzmühlestrasse 170d,8050,Zürich,Schweiz,044 277 71 11,info@jwtf.ch,jwtf.ch,Mr.,Remy,Fabrikant,,leadingswissagencies.ch,,,,,,"Wir leben in einer digitalen Welt, die unser Leben von Grund auf verändert hat. Egal, wo wir gerade sind, wir halten uns ständig im Internet auf. Unsere gesamte Kommunikation lä",https://www.persoenlich.com/marktplatz/jwt-fabrikant-werbeagentur-ag-zurich
Werbeagenturen,KOMMPAKT AG Kommunikation,Bruggerstrasse 37E,5401,Baden,Schweiz,+41 56 493 38 71,info@kommpakt.ch,kommpakt.ch,Mr.,Martin,Perini,,leadingswissagencies.ch,,,,,,Die KOMMPAKT AG ist die inhabergeführte Full-Service-Kommunikationsagentur für kreative Ideen und innovative Lösungen.,https://www.persoenlich.com/marktplatz/kommpakt-ag-kommunikation-baden
Mediaagenturen,Konnex Agentur für Medien-Kommunikation AG,Merkurstrasse 23,8400,Winterthur,Schweiz,+41 52 209 03 50,info@konnex-media.ch,konnex-media.ch,Mr.,Peter,Döbeli,,leadingswissagencies.ch,,,,,,Unsere profunde Marken- und Marktkenntnis sowie langjährige persönliche Kontakte machen Konnex zu einem der Top-Mediapartner in der Schweiz.,https://www.persoenlich.com/marktplatz/konnex-agentur-fur-medien-kommunikation-ag-winterthur
Werbeagenturen,KSP Krieg Schlupp Partner Werbeagentur AG,Seestrasse 367,8038,Zürich,Schweiz,+41 43 399 80 50,daniel.krieg@kspch.ch,kspch.ch,Mr.,Daniel,Krieg,,leadingswissagencies.ch,,,,,,Der strategische Mehrwert von KSP: Purpose & Profit.,https://www.persoenlich.com/marktplatz/ksp-krieg-schlupp-partner-werbeagentur-ag-zurich-1
